id,reference,source,apercu_200_caracteres,statut
4020,Article 2,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 2
I. – Conformément aux dispositions de l’article 70 de
PREMIERE PARTIE la Constitution, autorisation est donnée au gouvernement,
DONNEES GENERALES pendant l’année budgétaire 2026, à l’effet de :
DE L’EQUILIBRE F",a_verifier
4021,Article 3,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 3
confectionneraient les rôles et fixeraient les tarifs et contre
ceux qui en feraient le recouvrement, d’être poursuivis comme I. – A compter du 1er janvier 2026, les dispositions des
concussionnaires, sans préj",a_verifier
4022,Article 4,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 4
chapitre IV du titre premier et la section III du chapitre premier
A compter du 1er janvier 2026, le tarif des droits
du titre IV du code des douanes et impôts indirects précité,
d’importation fixé par l’articl",a_verifier
4023,Article 5,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 5
par le paragraphe I de l’article 5 de la loi de finances n° 60-24
I.– A compter du 1er janvier 2026, les dispositions de
pour l’année budgétaire 2025, seront applicables à compter
l’article 42 bis du dahir port",a_verifier
4024,Article 5 bis,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 5 bis
marchandises et ouvrages, tel qu’il a été modifié et complété,
Par dérogation aux dispositions du tarif des droits
sont complétées comme suit :
d’importation fixé par l’article 4-I de la loi de finances
« A",a_verifier
4025,Article 6,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 6
II. – Date d’effet :
1- Seront mis à la consommation à compter du 1er janvier A compter du 1er janvier 2026, les dispositions du premier
2028 :
alinéa de l’article 10 de la loi de finances pour l’année 1986
– l",a_verifier
4026,Article 7,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 7
« B. – .....................................................................................
I. – A compter du 1er janvier 2026, les dispositions des articles
« .................................................",a_verifier
4027,Article 8,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 8
applicables aux revenus acquis à compter du 1er janvier 2026.
A compter du 1er janvier 2026, les dispositions de l’article 8
11. Les dispositions des articles 84-I, 163-II, 173-I, 174-II,
de la loi de finances ",a_verifier
4028,Article 9,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 9
– « Service de logistique et de matériel de Meknès »
En application des dispositions de l’article 188 de la
rattaché au ministère de l’équipement et de l’eau ;
loi organique n° 111-14 relative aux régions, prom",a_verifier
4029,Article 11,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 11
– « Centre hospitalier provincial Tétouan » rattaché au
S ous réserve des dispositions de la présente loi de ministère de la santé et de la protection sociale ;
finances, les affectations résultant des budgets",a_verifier
4030,Article 14 bis,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 14 bis
paragraphe II de l'article 33 bis de la loi de finances pour
I.- En vue de permettre la comptabilisation des l'année 1986 n° 33-85, promulguée par le dahir n° 1-85-353 du
18 rabii II 1406 (31 décembre 1985",a_verifier
4031,Article 18,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 18
« – les versements au profit des établissements et
Conformément aux dispositions de l'article 60 de
« entreprises publics ou organismes privés, dans un
la loi organique n° 130-13 relative à la loi de finances,",a_verifier
4032,Article 19,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 19
« – dépenses diverses. »
Conformément aux dispositions de l'article 70 de la
II. – Les dépenses afférentes aux opérations constituant Constitution, est ratifié le décret ci-après, pris en vertu des
disposition",a_verifier
4033,Article 21,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 21
gouvernement, chargé de la transition 65
numérique et de la réforme de l'administration
I.– Sont annulés les crédits de paiement ouverts par
Juridictions financières 60
la loi de finances pour l’année budgétai",a_verifier
4034,Article 25,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 25
au titre des dépenses d’investissement du budget général et les
reliquats d'engagement, visés et non ordonnancés, au profit Le montant des dépenses que l’ordonnateur est autorisé
à engager, pendant l'année bud",a_verifier
4035,Article 25 bis,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 25 bis
Les modalités d’application du présent article sont fixées
par voie réglementaire. Le montant des dépenses que l’autorité gouvernementale
chargée de l’intérieur est autorisée à engager, pendant l'année
II.",a_verifier
4036,Article 23,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 23
Engagement par anticipation sur le compte d'affectation
Conformément aux dispositions de l'article 26 de
spéciale intitulé « Fonds spécial pour la mise en place des
la loi organique n° 130-13 relative à la loi",a_verifier
4037,Article 27,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 27
impérieuse et imprévue, à créer, par décrets, des comptes
spéciaux du Trésor pendant l’année budgétaire 2026. Le montant des dépenses que l’autorité gouvernementale
chargée de l'intérieur est autorisée à engag",a_verifier
4038,Article 28,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 28
Le montant des dépenses que le Chef du gouvernement
Le montant des dépenses que l’autorité gouvernementale
est autorisé à engager, pendant l'année budgétaire 2026, au
chargée de l'intérieur est autorisée à eng",a_verifier
4039,Article 30,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 30
Engagement par anticipation sur le compte de dépenses sur
Le montant des dépenses que l’autorité gouvernementale
dotations intitulé « Acquisition et réparation des matériels
chargée de l'équipement est autoris",a_verifier
4040,Article 35,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 35
2027, est fixé à trois milliards de dirhams (3.000.000.000 DH).
Engagement par anticipation sur le compte d'affectation Le montant des dépenses que le ministre délégué auprès
spéciale intitulé « Fonds national",a_verifier
4041,Article 31,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 31
budgétaire 2026, au titre du compte de dépenses sur dotations
Le montant des dépenses que l’autorité gouvernementale intitulé « Acquisition et réparation des matériels des Forces
chargée des sports est autoris",a_verifier
4042,Article 32,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 32
Par dérogation aux dispositions de l’article 28,
Le montant des dépenses que l’autorité gouvernementale
6ème alinéa de la loi organique n° 130-13 relative à la loi de
chargée de la culture est autorisée à enga",a_verifier
4043,Article 33,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 33
des ressources et des charges de l'Etat
Le montant des dépenses que l’autorité gouvernementale",a_verifier
4044,Article 37,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 37
chargée de la transition numérique et de la réforme de
l’administration est autorisée à engager, pendant l'année Pour l'année budgétaire 2026, les ressources affectées
budgétaire 2026, au titre du compte d'aff",a_verifier
4045,Article 38,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 38
- Charges Communes……………………………… 45.453.000.000
- Dépenses relatives aux remboursements, dégrèvements Le Gouvernement est autorisé à procéder aux émissions
et restitutions, fiscaux ……............................",a_verifier
4046,Article 39,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 39
DÉPENSES D'INVESTISSEMENT DU BUDGET
GÉNÉRAL (4) ………………………………………………… 136.106.794.000
Pour couvrir, pendant l’année budgétaire 2026,
SOLDE DU BUDGET GÉNÉRAL (HORS PRODUITS
DES EMPRUNTS ET HORS AMORTISSEMENT DE l",a_verifier
4047,Article 40,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 40
‑ Dépenses des budgets des services de l'Etat gérés de
manière autonome : 1.995.464.000
Le Gouvernement est autorisé à émettre des emprunts
- Dépenses d'exploitation ………………………… 1.738.331.000
intérieurs et à re",a_verifier
4048,Article 45,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 45
Le taux de mise en réserve desdits crédits est fixé à 15%.
Le montant des crédits ouverts pour l'année budgétaire
DEUXIEME PARTIE 2026, au titre des dépenses d’exploitation des services de l’Etat
gérés de mani",a_verifier
4049,Article 42,Bulletin Officiel n°7465 bis — Loi de Finances n°50-25 (2026),"Article 42
Le montant des crédits de paiement et des crédits
Le montant des crédits ouverts pour l'année budgétaire
d'engagement ouverts au titre des dépenses d’investissement
2026, au titre des dépenses de fonctionnemen",a_verifier
4050,Article premier,Code Général des Impôts 2026,"Article premier.- Définition
L'impôt sur les sociétés s’applique sur l'ensemble des produits, bénéfices
et revenus prévus aux articles 4 et 8 ci-dessous, des sociétés et autres
personnes morales visées à l’article 2 ci-a",a_verifier
4051,Article 2,Code Général des Impôts 2026,"Article 2.- Personnes imposables
I.- Sont obligatoirement passibles de l’impôt sur les sociétés :
1°- les sociétés quels que soient leur forme et leur objet à l’exclusion de
celles visées à l’article 3 ci-après ;
2°- les",a_verifier
4052,Article 3,Code Général des Impôts 2026,"Article 3.- Personnes exclues du champ d’application
Sont exclus du champ d’application de l’impôt sur les sociétés :
1°- les sociétés en participation comprenant moins de six (6) associés10,
les sociétés en nom collecti",a_verifier
4053,Article 4,Code Général des Impôts 2026,"Article 4.- Produits soumis à l’impôt retenu à la source
Sont soumis à la retenue à la source au titre de l’impôt sur les sociétés ou
de l’impôt sur le revenu, telle que prévue aux articles 157-I12, 158, 159 et
160 ci-de",a_verifier
4054,Article 5,Code Général des Impôts 2026,"Article 5.- Territorialité
I.- Les sociétés, qu'elles aient ou non un siège au Maroc, sont
imposables à raison de l'ensemble des produits, bénéfices et revenus :
 se rapportant aux biens qu'elles possèdent, à l’activité",a_verifier
4055,Article 6,Code Général des Impôts 2026,"Article 6.- Exonérations
I.- EXONERATIONS PERMANENTES19
A- Exonérations permanentes
Sont totalement exonérés de l'impôt sur les sociétés :
1°- les associations et les organismes légalement assimilés à but non
lucratif, p",a_verifier
4056,Article 7,Code Général des Impôts 2026,"Article 7.- Conditions d’exonération
I.- L’exonération prévue à l’article 6 (I-A- 1° et 9°) ci-dessus s’applique
en faveur 87:
86 Article 8 de la loi de finances n° 68-17 pour l’année budgétaire 2018
87 Article 8 de la l",a_verifier
4057,Article 8,Code Général des Impôts 2026,"Article 8.- Résultat fiscal
I.- Le résultat fiscal de chaque exercice comptable est déterminé
d'après l'excédent des produits sur les charges de l’exercice, engagées ou
supportées pour les besoins de l’activité imposable",a_verifier
4058,Article 9,Code Général des Impôts 2026,"Article 9.- Produits imposables
I.- Les produits imposables visés à l'article 8-I ci-dessus
s'entendent :
A- des produits d’exploitation constitués par :
1°- le chiffre d'affaires comprenant les recettes et les créances
",a_verifier
4059,Article 9 bis,Code Général des Impôts 2026,"Article 9 bis – Produits non imposables110
I.-111 Ne sont pas considérés comme produits imposables, les produits
de cession résultant des opérations suivantes :
106 Article 7 de la loi de finances n° 50-25 pour l’année b",a_verifier
4060,Article 10,Code Général des Impôts 2026,"Article 10.- Charges déductibles
Les charges déductibles au sens de l'article 8 ci-dessus comprennent :
I.- Les charges d’exploitation constituées par :
A- les achats de marchandises revendus en l’état et les achats
cons",a_verifier
4061,Article 11,Code Général des Impôts 2026,"Article 11.- Charges non déductibles
I.- Ne sont pas déductibles du résultat fiscal les amendes, pénalités et
majorations de toute nature mises à la charge des entreprises pour
infractions aux dispositions législatives o",a_verifier
4062,Article 12,Code Général des Impôts 2026,"Article 12.- Déficit reportable
Le déficit d'un exercice comptable peut être déduit du bénéfice de
l'exercice comptable suivant. A défaut de bénéfice ou en cas de bénéfice
insuffisant pour que la déduction puisse être op",a_verifier
4063,Article 13,Code Général des Impôts 2026,"Article 13.- Produits des actions, parts sociales et revenus
assimilés
Les produits des actions, parts sociales et revenus assimilés soumis à la
retenue à la source prévue à l’article 4 ci-dessus sont ceux versés, mis à
",a_verifier
4064,Article 14,Code Général des Impôts 2026,"Article 14.- Produits de placements à revenu fixe
Les produits de placements à revenu fixe soumis à la retenue à la source
prévue à l’article 4 ci-dessus, sont ceux versés, mis à la disposition ou
inscrits en compte des ",a_verifier
4065,Article 14 bis,Code Général des Impôts 2026,"Article 14 bis.- Revenus des certificats de Sukuk143
Sont soumis à la retenue à la source, au taux applicable aux produits
de placements à revenu fixe, les revenus versés par les fonds de
placements collectifs en titrisa",a_verifier
4066,Article 15,Code Général des Impôts 2026,"Article 15.- Produits bruts perçus par les personnes physiques ou
morales non résidentes
Les produits bruts soumis à la retenue à la source prévue à l’article 4
ci-dessus sont ceux versés, mis à la disposition ou inscrit",a_verifier
4067,Article 15 ter,Code Général des Impôts 2026,"Article 15 ter - Produits de location145
Les produits de location soumis à la retenue à la source prévus à l’article
4-V ci-dessus, s’entendent des produits de location de biens immeubles
bâtis et non bâtis et des constr",a_verifier
4068,Article 16,Code Général des Impôts 2026,"Article 16.- Détermination de la base imposable
Les sociétés non résidentes adjudicataires de marchés de travaux, de
construction ou de montage peuvent opter, lors du dépôt de la déclaration
prévue à l'article 148-III 14",a_verifier
4069,Article 17,Code Général des Impôts 2026,"Article 17.- Période d’imposition
L'impôt sur les sociétés est calculé d'après le bénéfice réalisé au cours
de chaque exercice comptable qui ne peut être supérieur à douze (12)
mois.
En cas de liquidation prolongée d'une",a_verifier
4070,Article 18,Code Général des Impôts 2026,"Article 18.- Lieu d’imposition
Les sociétés sont imposées pour l'ensemble de leurs produits, bénéfices
et revenus au lieu de leur siège social ou de leur principal établissement
au Maroc.
En cas d'option pour l'impôt sur",a_verifier
4071,Article 19,Code Général des Impôts 2026,"Article 19.- Taux d’imposition
I.- Taux normal de l’impôt
Sous réserve des dispositions du paragraphe XXXVII-A de l’article
247 ci-dessous, le taux de l’impôt sur les sociétés est fixé à148 :
147 Article 8 de la loi de f",a_verifier
4072,Article 19 bis,Code Général des Impôts 2026,"Article 19 bis.- Imputation de l’impôt étranger164
Lorsque les produits, bénéfices et revenus prévus aux articles 4 et 8
ci-dessus de source étrangère ont été soumis à un impôt sur les sociétés
dans le pays de la source ",a_verifier
4073,Article 20,Code Général des Impôts 2026,"Article 20.- Déclaration du résultat fiscal et du chiffre d’affaires
I.- Les sociétés qu’elles soient imposables à l’impôt sur les sociétés ou
qu’elles en soient exonérées, à l'exception des sociétés non résidentes
visée",a_verifier
4074,Article 20 bis,Code Général des Impôts 2026,"Article 20 bis.- Obligations des contribuables en cas de transfert
des immobilisations corporelles, incorporelles et
financières entre les sociétés membres d’un
groupe 172
En vue de réaliser les opérations de transfert d",a_verifier
4075,Article 21,Code Général des Impôts 2026,"Article 21.- Définition
L’impôt sur le revenu s’applique aux revenus et profits des personnes
physiques et des personnes morales visées à l’article 3 ci-dessus et
n’ayant pas opté pour l’impôt sur les sociétés.",a_verifier
4076,Article 22,Code Général des Impôts 2026,"Article 22.- Revenus et profits imposables
Les catégories de revenus et profits concernés sont :
1°- les revenus professionnels ;
2°- les revenus provenant des exploitations agricoles ;
3°- les revenus salariaux et reven",a_verifier
4077,Article 23,Code Général des Impôts 2026,"Article 23.- Territorialité
I.- Sont assujetties à l'impôt sur le revenu :
1°- les personnes physiques qui ont au Maroc leur domicile fiscal,
à raison de l’ensemble de leurs revenus et profits, de source marocaine
et étr",a_verifier
4078,Article 24,Code Général des Impôts 2026,"Article 24.- Exonérations
Sont exonérés de l'impôt sur le revenu :
1°- les ambassadeurs et agents diplomatiques, les consuls et
agents consulaires de nationalité étrangère, pour leurs revenus de source
étrangère, dans la",a_verifier
4079,Article 25,Code Général des Impôts 2026,"Article 25.- Détermination du revenu global imposable
Le revenu global imposable est constitué par le ou les revenus nets
d'une ou plusieurs des catégories prévues à l'article 22 ci-dessus, à
l’exclusion des revenus et p",a_verifier
4080,Article 26,Code Général des Impôts 2026,"Article 26.- Détermination du revenu global imposable des
personnes physiques membres de groupements
I.- Sous réserve de l’option prévue à l’article 2-II ci-dessus, le résultat
bénéficiaire réalisé par les sociétés en no",a_verifier
