document_id,reference,occurrence_index,longueur,retenu_par_defaut,apercu_200_caracteres
cgi_2024,Article 10,0,14996,1,"Article 10.- Charges déductibles
Les charges déductibles au sens de l'article 8 ci-dessus comprennent :
I.- Les charges d’exploitation constituées par :
A- les achats de marchandises revendus en l’état et les achats
cons"
cgi_2024,Article 10,1,1772,0,"Article 10
I- Les pénalités, amendes, majorations et frais de recouvrement
afférents aux impôts, droits et taxes prévus par le code général des
impôts, ainsi que ceux abrogés ou insérés dans ledit code mis en
recouvremen"
cgi_2024,Article 10,2,1122,0,"Article 10
La demande de remboursement de la taxe ayant grevé les opérations
visées aux articles 92 (I-28°) et 247- XII du code général des impôts doit
être établie sur un imprimé modèle fourni à cet effet par l'administ"
cgi_2024,Article 11,0,2847,1,"Article 11.- Charges non déductibles
I.- Ne sont pas déductibles du résultat fiscal les amendes, pénalités et
majorations de toute nature mises à la charge des entreprises pour
infractions aux dispositions législatives o"
cgi_2024,Article 11,1,2186,0,"Article 11
Pour bénéficier de l’exonération de la taxe sur la valeur ajoutée prévue à
l’article 92 (I-29) du code général des impôts, les personnes qui procèdent
à la construction de cités, résidences ou campus universit"
cgi_2024,Article 12,0,790,1,"Article 12.- Déficit reportable
Le déficit d'un exercice comptable peut être déduit du bénéfice de
l'exercice comptable suivant. A défaut de bénéfice ou en cas de bénéfice
insuffisant pour que la déduction puisse être op"
cgi_2024,Article 12,1,902,0,"Article 12
Les personnes physiques et morales bénéficiant de l’exonération au titre des
opérations de restauration de monuments historiques classés et des
équipements de base d’utilité publique prévues à l’article 92 (I-"
cgi_2024,Article 13,0,2471,1,"Article 13.- Produits des actions, parts sociales et revenus
assimilés
Les produits des actions, parts sociales et revenus assimilés soumis à la
retenue à la source prévue à l’article 4 ci-dessus sont ceux versés, mis à
"
cgi_2024,Article 13,1,1277,0,"Article 13
Pour bénéficier des exonérations de la taxe sur la valeur ajoutée prévues
à l’article 92-I (33° et 34°) du code général des impôts, le bénéficiaire
doit adresser au service local des impôts dont il relève une "
cgi_2024,Article 14,0,1612,1,"Article 14.- Produits de placements à revenu fixe
Les produits de placements à revenu fixe soumis à la retenue à la source
prévue à l’article 4 ci-dessus, sont ceux versés, mis à la disposition ou
inscrits en compte des "
cgi_2024,Article 14,1,2192,0,"Article 14
Pour bénéficier de l’exonération des opérations de transport international
et des prestations qui leur sont liées visée à l’article 92 (I-35°) du code
général des impôts, les entreprises de transport internati"
cgi_2024,Article 15,0,2281,1,"Article 15.- Produits bruts perçus par les personnes physiques ou
morales non résidentes
Les produits bruts soumis à la retenue à la source prévue à l’article 4
ci-dessus sont ceux versés, mis à la disposition ou inscrit"
cgi_2024,Article 15,1,1973,0,"Article 15
Le bénéfice de l'exonération prévue à l'article 92 (I-38°) du code général
des impôts est subordonné à l'obtention d'une autorisation d'achat en
exonération valable pour toute la durée du tournage de films.
Le"
